"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-05-09 12:00:00",1,283.1,9.999e+20,9.999e+20,9.999e+20,72.1,-2.82,5.35,0.0055,99705.58
"2019-05-09 18:00:00",1,283,268,665,1.5e-05,73.1,-4.66,2.1299999,0.00555,99754.12
"2019-05-10 00:00:00",1,280.9,265,49,2e-06,84.4,-4.58,-3.11,0.00555,99963.39
"2019-05-10 06:00:00",1,280.5,265,7,5e-06,85.6,-4.5099998,-3.52,0.00548,100122.06
"2019-05-10 12:00:00",1,283.1,298,410,1.2e-05,71.4,-5.3599997,-2.46,0.0053999997,100330.984
"2019-05-10 18:00:00",1,282.9,278,633,3e-05,74.200005,-7.89,-1.63,0.00554,100521.336
"2019-05-11 00:00:00",1,281.4,274,47,2e-06,76.6,-7.0099998,-2.75,0.00517,100995.51
"2019-05-11 06:00:00",1,280.6,268,9,2e-06,72.1,-6.08,-0.57,0.00458,101527.49
"2019-05-11 12:00:00",1,282.5,276,493,2e-06,57.5,-5.77,1.66,0.0041199997,102035.32
"2019-05-11 18:00:00",1,282.6,268,641,2e-06,61.100002,-4.5499997,1.81,0.00441,102455.62
"2019-05-12 00:00:00",1,280.4,265,50,0,70.5,-1.16,-1.5999999,0.0043599997,102759.24
"2019-05-12 06:00:00",1,280.4,261,9,0,76,2.3,-3.6399999,0.00471,102799.96
"2019-05-12 12:00:00",1,285.30002,275,531,0,56.4,5.41,-2.27,0.00482,102904.16
"2019-05-12 18:00:00",1,286.7,287,662,0,61.100002,3.55,0.19999999,0.00575,102730.516
"2019-05-13 00:00:00",1,283.30002,289,51,0,83.1,5.1,-2.99,0.00627,102745.83
"2019-05-13 06:00:00",1,282,281,8,0,69.8,7.12,-3.97,0.00482,102544.57
"2019-05-13 12:00:00",1,288.1,286,524,0,65.4,9.66,-2.6599998,0.00677,102439.45
