"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2019-11-03 06:00:00",1,283.09,9.999e+20,9.999e+20,9.999e+20,91.700005,0.21,1.06,0.00716,97722.12,9.999e+20
"2019-11-03 12:00:00",1,284,317,40,9.2e-05,89.6,1.5,7.5299997,0.00745,97642.44,47
"2019-11-03 18:00:00",1,282.05,335,40,0.000152,79.3,1.02,-0.45999998,0.00579,97387.86,91
"2019-11-04 00:00:00",1,281.38998,321,0,9.3e-05,90.200005,-2.58,-1.3,0.0063,97407.56,92
"2019-11-04 06:00:00",1,282.96,326,0,5.8999998e-05,85.3,-6.17,-2.9199998,0.0066199997,97516.586,76
"2019-11-04 12:00:00",1,284.65,314,100,1.2e-05,77.9,-9.95,-6.1299996,0.00672,98203.24,54
"2019-11-04 18:00:00",1,284.35,327,110,8e-06,80.5,-10.3,-4.0499997,0.00676,98915.44,67
"2019-11-05 00:00:00",1,284.07,346,0,1e-05,78,-10.49,-3.9099998,0.0063699996,99705.95,92
"2019-11-05 06:00:00",1,283.59,339,0,1.1e-05,79,-8.67,-1.4399999,0.00621,100317.02,92
"2019-11-05 12:00:00",1,283.72998,309,110,1.4e-05,74.700005,-6.24,-2.01,0.0058999998,100726.99,55
"2019-11-05 18:00:00",1,282.3,310,120,9e-06,73.1,-3.8899999,-1.8199999,0.00524,100758.21,70
"2019-11-06 00:00:00",1,281.74,296,0,3e-06,73.700005,3.1999998,0.69,0.0050999997,100458.305,92
"2019-11-06 06:00:00",1,281.41998,323,0,0.000106,84.3,6.64,0.35,0.00576,99721.06,97
"2019-11-06 12:00:00",1,282.56,333,40,0.000197,68.5,1.81,14.009999,0.0050999997,99077.98,88
"2019-11-06 18:00:00",1,281.62,282,150,0.000151,74.700005,7.97,13.75,0.00525,98418.33,57
"2019-11-07 00:00:00",1,282,303,0,0.000116,80.3,-6.0699997,4.18,0.0058299997,97765.836,58
"2019-11-07 06:00:00",1,280.47,300,0,4.8e-05,79.4,-8.65,-2.61,0.0051599997,98289.45,66
"2019-11-07 12:00:00",1,282.47998,291,120,3e-06,68.5,-9.45,0.12,0.00508,98867.14,45
"2019-11-07 18:00:00",1,282.22998,282,150,4.5e-05,76.3,-10.79,-1.4599999,0.0055299997,99351.71,36
"2019-11-08 00:00:00",1,282.03,289,0,1e-05,70.6,-9.29,1.6999999,0.00502,99814.164,48
"2019-11-08 06:00:00",1,281.49,262,0,6e-06,70.200005,-4.39,2.58,0.0047999998,100009.26,7
"2019-11-08 12:00:00",1,282.69,268,100,0,64.6,3.12,2.53,0.0047999998,99980.984,60
"2019-11-08 18:00:00",1,281.25998,309,110,0.000116,84,10.99,-1.35,0.0056999996,99441.93,83
"2019-11-09 00:00:00",1,281.79,300,0,0.000192,69.4,-2.26,11.46,0.00488,99469.95,58
"2019-11-09 06:00:00",1,281.87,271,0,0.000169,66.1,-5.71,12.75,0.00465,99921.336,74
"2019-11-09 12:00:00",1,283.1,263,110,7.2e-05,63.2,-3.77,10.57,0.0047899997,100625.16,22
"2019-11-09 18:00:00",1,283.04,288,150,1.2e-05,78.3,5.41,5.94,0.00592,100562.15,47
"2019-11-10 00:00:00",1,283.63,328,0,0.000126,84.9,12.53,6.31,0.00672,99921.31,95
"2019-11-10 06:00:00",1,281.87,347,0,0.000432,68.200005,-3.9399998,12.28,0.00481,99486.51,97
"2019-11-10 12:00:00",1,281.38,282,77,4.9e-05,72.200005,3.32,10.58,0.00493,99435.14,58
"2019-11-10 18:00:00",1,280.97998,297,90,7.8e-05,72.3,-0.5,9.91,0.00482,99064.734,75
"2019-11-11 00:00:00",1,280.97,291,0,4.3e-05,67,-1.66,10.29,0.00446,99079.93,84
"2019-11-11 06:00:00",1,281.25998,266,0,3.8e-05,68.5,0.16,11.62,0.00466,99150.37,54
"2019-11-11 12:00:00",1,281.57,283,84,4.1e-05,64.8,0.78,12.82,0.00451,98937.984,64
"2019-11-11 18:00:00",1,280.16,301,100,6.4e-05,70.6,0.62,11.23,0.00447,98854.06,85
"2019-11-12 00:00:00",1,279.4,293,0,9.1e-05,65.5,0.42999998,13.53,0.0039399997,98666.04,89
"2019-11-12 06:00:00",1,279.52,273,0,0.000146,70.5,-0.95,12.929999,0.00428,98610.49,77
"2019-11-12 12:00:00",1,281.93,269,90,0.000134,67.9,1.76,14.2699995,0.00487,98554.09,67
"2019-11-12 18:00:00",1,281.16998,269,120,8e-05,69.5,0.74,11.91,0.00472,98471.18,80
"2019-11-13 00:00:00",1,281.05,266,0,5.4e-05,68,-0.98999995,8.2699995,0.0046,98328.9,81
"2019-11-13 06:00:00",1,280.47998,260,0,1.8e-05,74.4,-8.679999,3.1,0.00481,98935.875,58
"2019-11-13 12:00:00",1,280.94998,262,90,4.7e-05,65.8,-10.03,4.5299997,0.00434,99950.266,29
"2019-11-13 18:00:00",1,279.72998,276,110,2.4e-05,69.8,-7.79,3.06,0.00421,100755.77,61
"2019-11-14 00:00:00",1,278.88,259,0,5e-06,71.4,-4.71,2.32,0.00403,101331.62,24
"2019-11-14 06:00:00",1,278.15,255,0,5e-06,69.5,-3.58,1.88,0.00372,101670.8,33
"2019-11-14 12:00:00",1,280.5,283,60,1e-06,57,-0.06,-0.66999996,0.00358,101830.37,96
"2019-11-14 18:00:00",1,278.72998,278,90,1e-06,69.5,2.83,-2.72,0.00387,101676.92,91
"2019-11-15 00:00:00",1,277.41998,275,0,3e-06,75.4,3.32,-4.14,0.00384,101606.055,83
"2019-11-15 06:00:00",1,276.05,248,0,0,77.8,2.57,-3.47,0.0036,101731.06,29
"2019-11-15 12:00:00",1,279.41998,261,80,1e-06,70.9,4.08,-3.62,0.00414,101939.24,21
"2019-11-15 18:00:00",1,279.04,303,70,3e-06,81.1,3.1299999,-2.8999999,0.0046,101978.2,66
"2019-11-16 00:00:00",1,278.54,305,0,5e-06,81.9,3.6699998,-2.95,0.0044899997,102060.89,71
"2019-11-16 06:00:00",1,278.79,309,0,2.6e-05,85.200005,3.82,-2.73,0.00477,101942.62,73
"2019-11-16 12:00:00",1,280.6,324,30,5.3e-05,85.5,5.45,-2.4199998,0.00542,101897.52,91
"2019-11-16 18:00:00",1,280.86,341,30,3.9e-05,90.200005,4.33,-2.24,0.0058299997,101693.65,96
"2019-11-17 00:00:00",1,281.02,331,0,1.7e-05,92.1,4.43,-2.2,0.0060199997,101569.14,88
"2019-11-17 06:00:00",1,281.31,338,0,1.5e-05,94.3,4.94,-1.8499999,0.0063099996,101310.03,93
"2019-11-17 12:00:00",1,283.72,345,30,7.4999996e-05,92.700005,5.49,0.98999995,0.0072999997,101139.805,91
"2019-11-17 18:00:00",1,282.29,346,20,0.000293,90,-1.78,3.11,0.00643,101091.27,97
"2019-11-18 00:00:00",1,281.06,311,0,2.3e-05,80,-1.09,3.73,0.00526,101098.38,92
"2019-11-18 06:00:00",1,280,262,0,0,82.8,0.57,3.75,0.00507,100951.336,10
"2019-11-18 12:00:00",1,282.46,267,80,1e-06,75.1,3.84,4.25,0.00545,100760.59,58
"2019-11-18 18:00:00",1,281.24,289,100,4e-06,79.5,5.96,3.1,0.0053399997,100279.875,77
"2019-11-19 00:00:00",1,281.56,328,0,5.8999998e-05,84.200005,9.32,2.55,0.00581,99690.58,97
"2019-11-19 06:00:00",1,282.11,338,0,0.000248,86.700005,11.639999,2.81,0.0062599997,98946.89,96
"2019-11-03 06:00:00",2,283.09,9.999e+20,9.999e+20,9.999e+20,90.5,0.06,0.24,0.0070599997,97674.18,9.999e+20
"2019-11-03 12:00:00",2,284.07,307,70,5.2e-05,89.5,1.52,7.1099997,0.0074699996,97595.98,34
"2019-11-03 18:00:00",2,281.78,334,30,0.000168,80.4,-0.31,1.27,0.00576,97398.73,92
"2019-11-04 00:00:00",2,281.31,321,0,0.000131,89.700005,-2.52,1.79,0.00622,97426.79,94
"2019-11-04 06:00:00",2,283.05,328,0,5.8999998e-05,85.6,-5.85,-2.8999999,0.00667,97507.97,73
"2019-11-04 12:00:00",2,284.5,303,100,7e-06,79.8,-9.37,-5.48,0.00682,98214.875,42
"2019-11-04 18:00:00",2,284.49,338,80,7e-06,81,-10.3,-4.4,0.0068599996,98951.18,76
"2019-11-05 00:00:00",2,283.85,301,0,2e-06,79.3,-9.58,-5.0299997,0.0063799997,99774.164,32
"2019-11-05 06:00:00",2,283.13,325,0,9e-06,80.4,-7.18,-1.5,0.0061299996,100369.52,68
"2019-11-05 12:00:00",2,283.88,295,120,1.1e-05,75.700005,-5.3599997,-2.18,0.00604,100698.65,36
"2019-11-05 18:00:00",2,282.25998,291,150,1.2e-05,75.9,-2.28,-1.1899999,0.00542,100711.9,55
"2019-11-06 00:00:00",2,282.19998,310,0,8e-06,80,4.2,0.96,0.00573,100256.266,98
"2019-11-06 06:00:00",2,281.36,330,0,0.00028,88,10.57,-2.98,0.0060199997,99192.87,98
"2019-11-06 12:00:00",2,282.68,324,90,1e-04,74.9,8.34,12.809999,0.0056499997,98469.04,73
"2019-11-06 18:00:00",2,282.74,321,80,3e-05,81.700005,-4.3399997,3.62,0.00623,97661.62,67
"2019-11-07 00:00:00",2,280.88998,278,0,3e-05,81.5,-6.6099997,-2.98,0.0054599997,98068.625,18
"2019-11-07 06:00:00",2,281.09,272,0,1.9e-05,75.9,-7.1499996,-0.9,0.00513,98420.61,28
"2019-11-07 12:00:00",2,282.28,282,80,6.7e-05,76.200005,-9.22,-3.46,0.00556,99012.62,43
"2019-11-07 18:00:00",2,282.04,304,90,3e-05,71.3,-11.98,1.01,0.0050899996,99549.875,91
"2019-11-08 00:00:00",2,281.82,285,0,1.8e-05,70.8,-9.599999,2.69,0.00496,99891.4,42
"2019-11-08 06:00:00",2,281.32,275,0,2.2e-05,74.200005,-4.9,3.9399998,0.00501,100158.75,25
"2019-11-08 12:00:00",2,282.53,273,100,0,64.8,1.42,2.72,0.00475,100177.37,54
"2019-11-08 18:00:00",2,281.80002,306,110,2.2e-05,80.1,7.9199996,-1.27,0.0055899997,99787.305,84
"2019-11-09 00:00:00",2,282.25,315,0,0.00012,67.8,0.88,9.01,0.0049,99730.48,72
"2019-11-09 06:00:00",2,281.68,283,0,7.4e-05,65.8,0.77,9.38,0.00458,99502,54
"2019-11-09 12:00:00",2,281.35,282,40,1.5e-05,73.700005,6.67,-6.23,0.00506,98631.23,80
"2019-11-09 18:00:00",2,281.2,307,20,0.000245,72.700005,4.13,-3,0.005,97663.48,87
"2019-11-10 00:00:00",2,280.6,283,0,6.6e-05,84,-8.67,-3.05,0.00549,98559.74,66
"2019-11-10 06:00:00",2,282.19,310,0,0.000158,68.9,-11.4,5.58,0.0049699997,99533.31,78
"2019-11-10 12:00:00",2,282.12,254,110,0,54.2,-7.37,7.02,0.0038599998,100385.97,21
"2019-11-10 18:00:00",2,281.03,251,150,0,58.100002,-1.12,2.05,0.0037999998,100672.94,3
"2019-11-11 00:00:00",2,281.62,281,0,0,80.200005,4.43,1.01,0.00551,100500.48,97
"2019-11-11 06:00:00",2,281.07,325,0,0.000129,84.8,9.41,-3.48,0.0056499997,99959.65,99
"2019-11-11 12:00:00",2,281.16,328,30,0.000138,84.9,8.83,-1.78,0.00576,98910.11,94
"2019-11-11 18:00:00",2,281.62,337,30,0.000229,81.9,3.06,4.64,0.00573,98506.875,89
"2019-11-12 00:00:00",2,280.02,279,0,2.2e-05,75.1,8,2.72,0.0047299997,98256.93,57
"2019-11-12 06:00:00",2,279.16,264,0,5.6e-05,69.200005,8.48,1.53,0.00411,98224.016,70
"2019-11-12 12:00:00",2,280.54,286,53,0.000267,66.3,10.09,3.61,0.00433,98125.83,90
"2019-11-12 18:00:00",2,279.5,283,110,0.000108,84.6,5.25,-2.58,0.00515,98106.99,91
"2019-11-13 00:00:00",2,280.75,329,0,0.000665,86.200005,7.64,-2.6499999,0.00572,97903.9,98
"2019-11-13 06:00:00",2,279.85,295,0,4.4e-05,82.200005,3.55,2.29,0.00512,98068.14,70
"2019-11-13 12:00:00",2,282.63998,263,100,0,74.4,6.8999996,1.7199999,0.0055799996,98557.266,27
"2019-11-13 18:00:00",2,280.8,273,120,1e-05,82.1,3.84,2.06,0.00543,98690.375,60
"2019-11-14 00:00:00",2,279.75,263,0,7.6e-05,82.4,3.6399999,2.21,0.00506,98683.14,18
"2019-11-14 06:00:00",2,279.47,261,0,2e-06,81,3.1499999,2.72,0.00489,98646.01,32
"2019-11-14 12:00:00",2,282.44998,258,100,2e-06,73.3,4.74,5.17,0.00542,98824.805,5
"2019-11-14 18:00:00",2,280.97998,269,130,8e-06,79.6,4.18,4.85,0.00533,98895.44,23
"2019-11-15 00:00:00",2,279.94,270,0,7e-06,83.200005,4.04,2.8799999,0.00518,98882.766,56
"2019-11-15 06:00:00",2,278.82,272,0,1e-05,86.700005,2.8899999,-1.4499999,0.005,98737,51
"2019-11-15 12:00:00",2,279.87,278,60,3e-06,84.5,-0.32999998,-4.5499997,0.00526,98483.45,81
"2019-11-15 18:00:00",2,280.29,310,60,0.00018,85.4,-8.82,-3.72,0.00548,98260.74,96
"2019-11-16 00:00:00",2,281.29,324,0,0.000164,85.200005,-5.83,0.79999995,0.00582,98837.04,84
"2019-11-16 06:00:00",2,280.13,283,0,5e-06,80.700005,-3.28,2.1,0.00506,99416.37,37
"2019-11-16 12:00:00",2,282.22,261,80,0,70.200005,4.91,0.71,0.00507,99541.45,33
"2019-11-16 18:00:00",2,281.37,306,90,0.000135,87.6,7.99,-3.1899998,0.0060199997,98920.68,85
"2019-11-17 00:00:00",2,282.25998,329,0,9.8e-05,82.9,3.77,5.8599997,0.00604,98969.555,90
"2019-11-17 06:00:00",2,281.00998,295,0,1.2e-05,79.6,5.27,3.6999998,0.00533,98841.016,82
"2019-11-17 12:00:00",2,282.03,278,60,6e-05,77.4,7.3999996,2.6499999,0.0055899997,98514.18,58
"2019-11-17 18:00:00",2,280.71,295,70,0.000182,77,5.85,3.81,0.0050999997,98043.5,91
"2019-11-18 00:00:00",2,279.55,269,0,0.000181,76.5,4.13,3.22,0.00468,97902.99,86
"2019-11-18 06:00:00",2,279.85,271,0,4.6e-05,73.6,2.56,5.5899997,0.0046099997,97749.99,82
"2019-11-18 12:00:00",2,282.62,255,90,5.8999998e-05,66.700005,-6.22,4.92,0.005,98506,22
"2019-11-18 18:00:00",2,282.07,264,120,1.1e-05,74.1,-9.13,6.3799996,0.0053,99452.85,3
"2019-11-19 00:00:00",2,280.86,265,0,0,71.3,-3.6499999,6.73,0.0046699997,100215.72,21
"2019-11-19 06:00:00",2,280.50998,294,0,3.3e-05,81.4,5.6299996,5.69,0.00521,100052.43,86
"2019-11-03 06:00:00",3,283.1,9.999e+20,9.999e+20,9.999e+20,90.4,0.97999996,-0.37,0.00707,97658.39,9.999e+20
"2019-11-03 12:00:00",3,284.07,311,60,8.5e-05,89.9,1.99,7.29,0.0075,97601.5,42
"2019-11-03 18:00:00",3,282.13998,334,40,0.000162,80.4,1.37,-0.06,0.00591,97332.305,92
"2019-11-04 00:00:00",3,281.37,314,0,5.5e-05,88.700005,-2.52,-1.0799999,0.00618,97395.83,91
"2019-11-04 06:00:00",3,283.16998,315,0,1.3e-05,84.4,-6.27,-1.75,0.00664,97524.57,68
"2019-11-04 12:00:00",3,284.5,320,80,9e-06,78.8,-9.2699995,-5.17,0.00673,98192.516,58
"2019-11-04 18:00:00",3,284.5,307,130,4e-06,79.9,-10.5199995,-4.02,0.00677,98899.38,39
"2019-11-05 00:00:00",3,284.00998,330,0,6e-06,77,-11.059999,-3.4199998,0.00627,99697.805,71
"2019-11-05 06:00:00",3,283.37,343,0,1.8e-05,78.9,-9.9,-1.01,0.00612,100278.49,95
"2019-11-05 12:00:00",3,283.41998,318,80,1.5e-05,74.6,-7.3999996,-0.90999997,0.00578,100707.805,71
"2019-11-05 18:00:00",3,282.05,298,130,1.4e-05,76.5,-3.6899998,-1.12,0.0053999997,100764.37,47
"2019-11-06 00:00:00",3,281.38,302,0,8e-06,78.8,2.1299999,-1.8199999,0.00532,100498.58,96
"2019-11-06 06:00:00",3,281.27,322,0,5.2e-05,83.1,4.69,-0.87,0.00562,99805.49,97
"2019-11-06 12:00:00",3,280.25,323,20,0.000218,87.9,4.11,-9.57,0.0055899997,98962.33,93
"2019-11-06 18:00:00",3,281.04,330,30,0.000194,86,-7.22,-0.35,0.0057699997,98825.68,99
"2019-11-07 00:00:00",3,281.44998,328,0,0.000167,83.3,-7.37,2.74,0.00575,98951.21,98
"2019-11-07 06:00:00",3,280.93,310,0,6.5e-05,78.5,-5.7599998,-2.79,0.0052199997,99064.46,88
"2019-11-07 12:00:00",3,281.93,297,70,1e-05,77.4,-6.89,-2.23,0.00549,99476.875,91
"2019-11-07 18:00:00",3,280.71,285,110,8e-06,72.200005,-4.5499997,-1.4499999,0.00469,99928.4,52
"2019-11-08 00:00:00",3,280.02,275,0,3.9e-05,69.3,-3.1299999,-0.91999996,0.00427,100199.35,50
"2019-11-08 06:00:00",3,279.27,256,0,0,68,-2.03,-1.7099999,0.00396,100212.58,4
"2019-11-08 12:00:00",3,280.75998,255,100,0,57.5,1.18,-2.31,0.0037399998,100093.65,48
"2019-11-08 18:00:00",3,279.50998,263,130,0,68.200005,1.93,-5.18,0.00408,99741.95,73
"2019-11-09 00:00:00",3,278.84,283,0,0,74.9,0.24,-8.429999,0.00429,99523.17,99
"2019-11-09 06:00:00",3,279.63,295,0,9e-06,75.1,-4.79,-6.93,0.00454,99652.99,98
"2019-11-09 12:00:00",3,282.21,274,100,2e-06,74.3,-7.7,-8.599999,0.00533,100222.29,59
"2019-11-09 18:00:00",3,281.47,312,100,5e-06,78.8,-5.77,-5.19,0.0053399997,100788.28,63
"2019-11-10 00:00:00",3,279.96,282,0,0,78.200005,-0.74,-3.4299998,0.00476,101154.87,69
"2019-11-10 06:00:00",3,279.66998,292,0,3e-06,83.1,4.92,-2.18,0.0049699997,101109.164,94
"2019-11-10 12:00:00",3,282.00998,328,40,3e-05,85.700005,8.139999,0.51,0.0060199997,100962.445,98
"2019-11-10 18:00:00",3,282.5,324,70,1e-05,79,2.07,4.67,0.00574,100787.81,98
"2019-11-11 00:00:00",3,282.46,326,0,0.000135,87.9,11.33,-0.87,0.00642,100003.305,99
"2019-11-11 06:00:00",3,282.75998,349,0,0.000202,71,-6.22,11.639999,0.00533,99448.664,97
